"text","label","source"
"Yesterday I walked to the library after class and borrowed a book about distributed systems.","human","human"
"I forgot my umbrella on the train, so I went back to the station before heading home.","human","human"
"Our team tested the prototype twice and fixed a small bug in the login flow.","human","human"
"I usually write my notes by hand because it helps me remember the important details.","human","human"
"The bus was late this morning, but I still arrived before the seminar started.","human","human"
"We compared three possible designs and chose the simplest one for the first version.","human","human"
"My brother called me in the evening and asked whether I wanted to join him for dinner.","human","human"
"The experiment failed on the first attempt, so we changed one parameter and tried again.","human","human"
"I cleaned my desk before starting the assignment because there was almost no free space left.","human","human"
"Our professor asked us to explain the result without using technical jargon.","human","human"
"Machine learning can support text analysis by transforming documents into numerical representations that a classifier can process.","ai","model_a"
"An effective text-classification workflow typically includes preprocessing, feature extraction, model training, and evaluation on previously unseen examples.","ai","model_a"
"Natural language processing systems can identify statistical patterns in text and use those patterns to distinguish between different categories.","ai","model_a"
"A robust evaluation should consider multiple metrics because accuracy alone may hide important differences between classes.","ai","model_a"
"Stylometric analysis examines measurable properties of writing, such as sentence length, vocabulary usage, punctuation, and character sequences.","ai","model_a"
"Transformer-based representations can capture contextual relationships between tokens and provide useful features for downstream classification tasks.","ai","model_a"
"A supervised classifier learns a decision boundary from labeled examples and then applies the learned pattern to new observations.","ai","model_a"
"Model performance should be measured on a held-out test set so that the final results provide a more realistic estimate of generalization.","ai","model_a"
"Feature engineering can make a classification pipeline more interpretable because individual measurements can be inspected and compared.","ai","model_a"
"An ensemble can combine the outputs of multiple models in order to improve robustness compared with relying on a single estimator.","ai","model_a"
"Artificial intelligence methods can assist analysts by identifying recurring linguistic patterns that may be difficult to detect consistently by manual inspection.","ai","model_b"
"Text representations convert language into structured numerical signals, enabling traditional machine-learning algorithms to operate on documents.","ai","model_b"
"The choice of evaluation metric should reflect the application context and the costs associated with different types of classification errors.","ai","model_b"
"Cross-validation is useful during development because it provides repeated estimates of model performance across different training and validation partitions.","ai","model_b"
"Support vector machines are often effective for sparse text features because they can construct a decision boundary in a high-dimensional feature space.","ai","model_b"
"Random forest models combine many decision trees and can capture nonlinear relationships between engineered text features.","ai","model_b"
"Text classification pipelines should separate training data from test data before fitting transformations to avoid information leakage.","ai","model_b"
"Human and machine-generated writing may differ in measurable stylistic properties, although such differences can disappear across domains or after paraphrasing.","ai","model_b"
"A practical research prototype should report its limitations clearly rather than presenting benchmark performance as a universal guarantee.","ai","model_b"
"The same model can behave differently when the topic, language, document length, or text-generation system changes.","ai","model_b"
